ID	Gene Name	Species	GOTERM_BP_DIRECT
SNAI1	snail family transcriptional repressor 1(SNAI1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001649~osteoblast differentiation;GO:0001707~mesoderm formation;GO:0001837~epithelial to mesenchymal transition;GO:0003198~epithelial to mesenchymal transition involved in endocardial cushion formation;GO:0010718~positive regulation of epithelial to mesenchymal transition;GO:0010957~negative regulation of vitamin D biosynthetic process;GO:0016477~cell migration;GO:0030335~positive regulation of cell migration;GO:0031069~hair follicle morphogenesis;GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator;GO:0045893~positive regulation of transcription, DNA-templated;GO:0060021~palate development;GO:0060536~cartilage morphogenesis;GO:0060707~trophoblast giant cell differentiation;GO:0060806~negative regulation of cell differentiation involved in embryonic placenta development;GO:0060972~left/right pattern formation;GO:0061314~Notch signaling involved in heart development;GO:1902230~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage;GO:2000810~regulation of bicellular tight junction assembly,
SNAI2	snail family transcriptional repressor 2(SNAI2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001649~osteoblast differentiation;GO:0001837~epithelial to mesenchymal transition;GO:0003198~epithelial to mesenchymal transition involved in endocardial cushion formation;GO:0003273~cell migration involved in endocardial cushion formation;GO:0006351~transcription, DNA-templated;GO:0006933~negative regulation of cell adhesion involved in substrate-bound cell migration;GO:0007219~Notch signaling pathway;GO:0007605~sensory perception of sound;GO:0010839~negative regulation of keratinocyte proliferation;GO:0010957~negative regulation of vitamin D biosynthetic process;GO:0014032~neural crest cell development;GO:0030335~positive regulation of cell migration;GO:0032331~negative regulation of chondrocyte differentiation;GO:0032642~regulation of chemokine production;GO:0033629~negative regulation of cell adhesion mediated by integrin;GO:0035066~positive regulation of histone acetylation;GO:0035414~negative regulation of catenin import into nucleus;GO:0035921~desmosome disassembly;GO:0043473~pigmentation;GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator;GO:0044344~cellular response to fibroblast growth factor stimulus;GO:0045600~positive regulation of fat cell differentiation;GO:0045667~regulation of osteoblast differentiation;GO:0050872~white fat cell differentiation;GO:0060021~palate development;GO:0060070~canonical Wnt signaling pathway;GO:0060429~epithelium development;GO:0060536~cartilage morphogenesis;GO:0060693~regulation of branching involved in salivary gland morphogenesis;GO:0070563~negative regulation of vitamin D receptor signaling pathway;GO:0071364~cellular response to epidermal growth factor stimulus;GO:0071479~cellular response to ionizing radiation;GO:0090090~negative regulation of canonical Wnt signaling pathway;GO:1900387~negative regulation of cell-cell adhesion by negative regulation of transcription from RNA polymerase II promoter;GO:1902230~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage;GO:2000647~negative regulation of stem cell proliferation;GO:2000810~regulation of bicellular tight junction assembly;GO:2000811~negative regulation of anoikis;GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
SLC16A2	solute carrier family 16 member 2(SLC16A2)	Homo sapiens	GO:0006810~transport;GO:0015718~monocarboxylic acid transport;GO:0055085~transmembrane transport;GO:0070327~thyroid hormone transport,
SLC2A4	solute carrier family 2 member 4(SLC2A4)	Homo sapiens	GO:0005975~carbohydrate metabolic process;GO:0010021~amylopectin biosynthetic process;GO:0015758~glucose transport;GO:0032869~cellular response to insulin stimulus;GO:0042593~glucose homeostasis;GO:0045471~response to ethanol;GO:0046323~glucose import;GO:0050873~brown fat cell differentiation;GO:0071356~cellular response to tumor necrosis factor;GO:0071456~cellular response to hypoxia;GO:0071470~cellular response to osmotic stress;GO:1904659~glucose transmembrane transport,
SNX1	sorting nexin 1(SNX1)	Homo sapiens	GO:0006886~intracellular protein transport;GO:0016050~vesicle organization;GO:0031623~receptor internalization;GO:0034498~early endosome to Golgi transport;GO:0042147~retrograde transport, endosome to Golgi;GO:0045732~positive regulation of protein catabolic process;GO:0072673~lamellipodium morphogenesis;GO:0098609~cell-cell adhesion,
SPRY2	sprouty RTK signaling antagonist 2(SPRY2)	Homo sapiens	GO:0000132~establishment of mitotic spindle orientation;GO:0007605~sensory perception of sound;GO:0008285~negative regulation of cell proliferation;GO:0010628~positive regulation of gene expression;GO:0010801~negative regulation of peptidyl-threonine phosphorylation;GO:0031345~negative regulation of cell projection organization;GO:0033138~positive regulation of peptidyl-serine phosphorylation;GO:0034260~negative regulation of GTPase activity;GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway;GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway;GO:0042472~inner ear morphogenesis;GO:0043066~negative regulation of apoptotic process;GO:0043407~negative regulation of MAP kinase activity;GO:0045165~cell fate commitment;GO:0045595~regulation of cell differentiation;GO:0046580~negative regulation of Ras protein signal transduction;GO:0051387~negative regulation of neurotrophin TRK receptor signaling pathway;GO:0051897~positive regulation of protein kinase B signaling;GO:0060437~lung growth;GO:0060449~bud elongation involved in lung branching;GO:0070373~negative regulation of ERK1 and ERK2 cascade;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0071902~positive regulation of protein serine/threonine kinase activity,
STMN1	stathmin 1(STMN1)	Homo sapiens	GO:0000281~mitotic cytokinesis;GO:0007019~microtubule depolymerization;GO:0007052~mitotic spindle organization;GO:0007165~signal transduction;GO:0007409~axonogenesis;GO:0007420~brain development;GO:0009615~response to virus;GO:0031110~regulation of microtubule polymerization or depolymerization;GO:0031115~negative regulation of microtubule polymerization;GO:0031175~neuron projection development;GO:0035556~intracellular signal transduction;GO:0051272~positive regulation of cellular component movement;GO:0051493~regulation of cytoskeleton organization,
SREBF1	sterol regulatory element binding transcription factor 1(SREBF1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0003062~regulation of heart rate by chemical signal;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006629~lipid metabolic process;GO:0007568~aging;GO:0007623~circadian rhythm;GO:0008203~cholesterol metabolic process;GO:0008286~insulin receptor signaling pathway;GO:0008610~lipid biosynthetic process;GO:0009267~cellular response to starvation;GO:0009749~response to glucose;GO:0010867~positive regulation of triglyceride biosynthetic process;GO:0019217~regulation of fatty acid metabolic process;GO:0030324~lung development;GO:0031065~positive regulation of histone deacetylation;GO:0031647~regulation of protein stability;GO:0032094~response to food;GO:0032526~response to retinoic acid;GO:0032570~response to progesterone;GO:0033762~response to glucagon;GO:0042493~response to drug;GO:0042789~mRNA transcription from RNA polymerase II promoter;GO:0045444~fat cell differentiation;GO:0045542~positive regulation of cholesterol biosynthetic process;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046676~negative regulation of insulin secretion;GO:0051591~response to cAMP;GO:0071398~cellular response to fatty acid;GO:1903146~regulation of mitophagy;GO:1903214~regulation of protein targeting to mitochondrion,
SREBF2	sterol regulatory element binding transcription factor 2(SREBF2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated;GO:0006629~lipid metabolic process;GO:0008203~cholesterol metabolic process;GO:0009267~cellular response to starvation;GO:0010886~positive regulation of cholesterol storage;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0055098~response to low-density lipoprotein particle;GO:0071499~cellular response to laminar fluid shear stress;GO:0072368~regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter;GO:0090370~negative regulation of cholesterol efflux;GO:1903146~regulation of mitophagy;GO:1903955~positive regulation of protein targeting to mitochondrion;GO:2000188~regulation of cholesterol homeostasis,
SMC1A	structural maintenance of chromosomes 1A(SMC1A)	Homo sapiens	GO:0000070~mitotic sister chromatid segregation;GO:0006281~DNA repair;GO:0007052~mitotic spindle organization;GO:0007062~sister chromatid cohesion;GO:0007064~mitotic sister chromatid cohesion;GO:0007093~mitotic cell cycle checkpoint;GO:0007126~meiotic nuclear division;GO:0009314~response to radiation;GO:0016925~protein sumoylation;GO:0019827~stem cell population maintenance;GO:0032876~negative regulation of DNA endoreduplication;GO:0042770~signal transduction in response to DNA damage;GO:0051301~cell division,
SSRP1	structure specific recognition protein 1(SSRP1)	Homo sapiens	GO:0006260~DNA replication;GO:0006281~DNA repair;GO:0006355~regulation of transcription, DNA-templated;GO:0006366~transcription from RNA polymerase II promoter;GO:0006368~transcription elongation from RNA polymerase II promoter;GO:1901796~regulation of signal transduction by p53 class mediator,
SDHD	succinate dehydrogenase complex subunit D(SDHD)	Homo sapiens	GO:0006099~tricarboxylic acid cycle;GO:0006121~mitochondrial electron transport, succinate to ubiquinone,
SOD2	superoxide dismutase 2, mitochondrial(SOD2)	Homo sapiens	GO:0000302~response to reactive oxygen species;GO:0000303~response to superoxide;GO:0001306~age-dependent response to oxidative stress;GO:0001315~age-dependent response to reactive oxygen species;GO:0001666~response to hypoxia;GO:0001836~release of cytochrome c from mitochondria;GO:0001889~liver development;GO:0003032~detection of oxygen;GO:0003069~vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006749~glutathione metabolic process;GO:0006801~superoxide metabolic process;GO:0007507~heart development;GO:0007626~locomotory behavior;GO:0008217~regulation of blood pressure;GO:0008285~negative regulation of cell proliferation;GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage;GO:0008631~intrinsic apoptotic signaling pathway in response to oxidative stress;GO:0009409~response to cold;GO:0009791~post-embryonic development;GO:0010042~response to manganese ion;GO:0010043~response to zinc ion;GO:0010269~response to selenium ion;GO:0010332~response to gamma radiation;GO:0014823~response to activity;GO:0019430~removal of superoxide radicals;GO:0022904~respiratory electron transport chain;GO:0030097~hemopoiesis;GO:0032364~oxygen homeostasis;GO:0032496~response to lipopolysaccharide;GO:0033591~response to L-ascorbic acid;GO:0034021~response to silicon dioxide;GO:0035900~response to isolation stress;GO:0035902~response to immobilization stress;GO:0042493~response to drug;GO:0042542~response to hydrogen peroxide;GO:0042554~superoxide anion generation;GO:0043066~negative regulation of apoptotic process;GO:0043524~negative regulation of neuron apoptotic process;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045599~negative regulation of fat cell differentiation;GO:0046686~response to cadmium ion;GO:0048147~negative regulation of fibroblast proliferation;GO:0048666~neuron development;GO:0048678~response to axon injury;GO:0048773~erythrophore differentiation;GO:0050665~hydrogen peroxide biosynthetic process;GO:0050790~regulation of catalytic activity;GO:0051260~protein homooligomerization;GO:0051289~protein homotetramerization;GO:0051602~response to electrical stimulus;GO:0051881~regulation of mitochondrial membrane potential;GO:0055072~iron ion homeostasis;GO:0055093~response to hyperoxia;GO:0055114~oxidation-reduction process;GO:0071000~response to magnetism;GO:0071361~cellular response to ethanol;GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,
SOD3	superoxide dismutase 3, extracellular(SOD3)	Homo sapiens	GO:0000302~response to reactive oxygen species;GO:0001666~response to hypoxia;GO:0019430~removal of superoxide radicals;GO:0046688~response to copper ion;GO:0055114~oxidation-reduction process,
SOCS3	suppressor of cytokine signaling 3(SOCS3)	Homo sapiens	GO:0001932~regulation of protein phosphorylation;GO:0006469~negative regulation of protein kinase activity;GO:0007259~JAK-STAT cascade;GO:0016567~protein ubiquitination;GO:0019221~cytokine-mediated signaling pathway;GO:0040008~regulation of growth;GO:0042512~negative regulation of tyrosine phosphorylation of Stat1 protein;GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein;GO:0042518~negative regulation of tyrosine phosphorylation of Stat3 protein;GO:0043066~negative regulation of apoptotic process;GO:0045597~positive regulation of cell differentiation;GO:0046426~negative regulation of JAK-STAT cascade;GO:0046627~negative regulation of insulin receptor signaling pathway;GO:0050728~negative regulation of inflammatory response;GO:0060334~regulation of interferon-gamma-mediated signaling pathway;GO:0060670~branching involved in labyrinthine layer morphogenesis;GO:0060674~placenta blood vessel development;GO:0060707~trophoblast giant cell differentiation;GO:0060708~spongiotrophoblast differentiation,
SOCS6	suppressor of cytokine signaling 6(SOCS6)	Homo sapiens	GO:0006469~negative regulation of protein kinase activity;GO:0006952~defense response;GO:0007259~JAK-STAT cascade;GO:0010498~proteasomal protein catabolic process;GO:0016567~protein ubiquitination;GO:0019221~cytokine-mediated signaling pathway;GO:0035556~intracellular signal transduction;GO:0040008~regulation of growth;GO:0046426~negative regulation of JAK-STAT cascade;GO:0050868~negative regulation of T cell activation,
SMN1	survival of motor neuron 1, telomeric(SMN1)	Homo sapiens	GO:0000245~spliceosomal complex assembly;GO:0000387~spliceosomal snRNP assembly;GO:0006353~DNA-templated transcription, termination;GO:0006397~mRNA processing;GO:0007399~nervous system development;GO:0051170~nuclear import,
SDC1	syndecan 1(SDC1)	Homo sapiens	GO:0001523~retinoid metabolic process;GO:0001657~ureteric bud development;GO:0006024~glycosaminoglycan biosynthetic process;GO:0006027~glycosaminoglycan catabolic process;GO:0006954~inflammatory response;GO:0009636~response to toxic substance;GO:0016477~cell migration;GO:0030203~glycosaminoglycan metabolic process;GO:0042060~wound healing;GO:0042157~lipoprotein metabolic process;GO:0042476~odontogenesis;GO:0042542~response to hydrogen peroxide;GO:0048627~myoblast development;GO:0051384~response to glucocorticoid;GO:0051591~response to cAMP;GO:0051592~response to calcium ion;GO:0055002~striated muscle cell development;GO:0060009~Sertoli cell development;GO:0060070~canonical Wnt signaling pathway;GO:1903543~positive regulation of exosomal secretion;GO:1903553~positive regulation of extracellular exosome assembly,
TAC1	tachykinin precursor 1(TAC1)	Homo sapiens	GO:0001878~response to yeast;GO:0002675~positive regulation of acute inflammatory response;GO:0006954~inflammatory response;GO:0007204~positive regulation of cytosolic calcium ion concentration;GO:0007217~tachykinin receptor signaling pathway;GO:0007218~neuropeptide signaling pathway;GO:0007267~cell-cell signaling;GO:0007268~chemical synaptic transmission;GO:0007320~insemination;GO:0007616~long-term memory;GO:0008217~regulation of blood pressure;GO:0008306~associative learning;GO:0009582~detection of abiotic stimulus;GO:0009725~response to hormone;GO:0010459~negative regulation of heart rate;GO:0010634~positive regulation of epithelial cell migration;GO:0019233~sensory perception of pain;GO:0019731~antibacterial humoral response;GO:0019732~antifungal humoral response;GO:0032224~positive regulation of synaptic transmission, cholinergic;GO:0032230~positive regulation of synaptic transmission, GABAergic;GO:0032496~response to lipopolysaccharide;GO:0035815~positive regulation of renal sodium excretion;GO:0043278~response to morphine;GO:0045087~innate immune response;GO:0045760~positive regulation of action potential;GO:0045778~positive regulation of ossification;GO:0046878~positive regulation of saliva secretion;GO:0048265~response to pain;GO:0050671~positive regulation of lymphocyte proliferation;GO:0050829~defense response to Gram-negative bacterium;GO:0050830~defense response to Gram-positive bacterium;GO:0051496~positive regulation of stress fiber assembly;GO:1990090~cellular response to nerve growth factor stimulus;GO:2000854~positive regulation of corticosterone secretion,
THBS1	thrombospondin 1(THBS1)	Homo sapiens	GO:0000187~activation of MAPK activity;GO:0001666~response to hypoxia;GO:0001937~negative regulation of endothelial cell proliferation;GO:0001953~negative regulation of cell-matrix adhesion;GO:0002040~sprouting angiogenesis;GO:0002544~chronic inflammatory response;GO:0002576~platelet degranulation;GO:0002581~negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II;GO:0002605~negative regulation of dendritic cell antigen processing and presentation;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0006986~response to unfolded protein;GO:0007050~cell cycle arrest;GO:0007155~cell adhesion;GO:0008284~positive regulation of cell proliferation;GO:0009612~response to mechanical stimulus;GO:0009749~response to glucose;GO:0010595~positive regulation of endothelial cell migration;GO:0010596~negative regulation of endothelial cell migration;GO:0010748~negative regulation of plasma membrane long-chain fatty acid transport;GO:0010751~negative regulation of nitric oxide mediated signal transduction;GO:0010754~negative regulation of cGMP-mediated signaling;GO:0010757~negative regulation of plasminogen activation;GO:0010759~positive regulation of macrophage chemotaxis;GO:0010763~positive regulation of fibroblast migration;GO:0016477~cell migration;GO:0016525~negative regulation of angiogenesis;GO:0018149~peptide cross-linking;GO:0030194~positive regulation of blood coagulation;GO:0030198~extracellular matrix organization;GO:0030335~positive regulation of cell migration;GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway;GO:0030823~regulation of cGMP metabolic process;GO:0032026~response to magnesium ion;GO:0032570~response to progesterone;GO:0032695~negative regulation of interleukin-12 production;GO:0032914~positive regulation of transforming growth factor beta1 production;GO:0033574~response to testosterone;GO:0034605~cellular response to heat;GO:0034976~response to endoplasmic reticulum stress;GO:0036066~protein O-linked fucosylation;GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway;GO:0042327~positive regulation of phosphorylation;GO:0042493~response to drug;GO:0042535~positive regulation of tumor necrosis factor biosynthetic process;GO:0043032~positive regulation of macrophage activation;GO:0043066~negative regulation of apoptotic process;GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process;GO:0043536~positive regulation of blood vessel endothelial cell migration;GO:0043537~negative regulation of blood vessel endothelial cell migration;GO:0043652~engulfment of apoptotic cell;GO:0045727~positive regulation of translation;GO:0045766~positive regulation of angiogenesis;GO:0048266~behavioral response to pain;GO:0048661~positive regulation of smooth muscle cell proliferation;GO:0050921~positive regulation of chemotaxis;GO:0051592~response to calcium ion;GO:0051895~negative regulation of focal adhesion assembly;GO:0051897~positive regulation of protein kinase B signaling;GO:0051918~negative regulation of fibrinolysis;GO:0071356~cellular response to tumor necrosis factor;GO:0071363~cellular response to growth factor stimulus;GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors;GO:2000353~positive regulation of endothelial cell apoptotic process;GO:2000379~positive regulation of reactive oxygen species metabolic process;GO:2001027~negative regulation of endothelial cell chemotaxis;GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,
TJP1	tight junction protein 1(TJP1)	Homo sapiens	GO:0001825~blastocyst formation;GO:0007043~cell-cell junction assembly;GO:0007605~sensory perception of sound;GO:0032496~response to lipopolysaccharide;GO:0035329~hippo signaling;GO:0042493~response to drug;GO:0043116~negative regulation of vascular permeability;GO:0045471~response to ethanol;GO:0071000~response to magnetism;GO:0071333~cellular response to glucose stimulus;GO:0090557~establishment of endothelial intestinal barrier;GO:0098609~cell-cell adhesion;GO:1901350~cell-cell signaling involved in cell-cell junction organization,
TJP2	tight junction protein 2(TJP2)	Homo sapiens	GO:0035329~hippo signaling;GO:0046037~GMP metabolic process;GO:0046710~GDP metabolic process;GO:0050892~intestinal absorption;GO:0090557~establishment of endothelial intestinal barrier;GO:0090559~regulation of membrane permeability;GO:0098609~cell-cell adhesion,
TLR2	toll like receptor 2(TLR2)	Homo sapiens	GO:0001666~response to hypoxia;GO:0001774~microglial cell activation;GO:0002237~response to molecule of bacterial origin;GO:0002374~cytokine secretion involved in immune response;GO:0002755~MyD88-dependent toll-like receptor signaling pathway;GO:0006691~leukotriene metabolic process;GO:0006915~apoptotic process;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007165~signal transduction;GO:0007252~I-kappaB phosphorylation;GO:0008285~negative regulation of cell proliferation;GO:0009636~response to toxic substance;GO:0010628~positive regulation of gene expression;GO:0030177~positive regulation of Wnt signaling pathway;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032289~central nervous system myelin formation;GO:0032493~response to bacterial lipoprotein;GO:0032496~response to lipopolysaccharide;GO:0032570~response to progesterone;GO:0032613~interleukin-10 production;GO:0032722~positive regulation of chemokine production;GO:0032728~positive regulation of interferon-beta production;GO:0032733~positive regulation of interleukin-10 production;GO:0032735~positive regulation of interleukin-12 production;GO:0032741~positive regulation of interleukin-18 production;GO:0032755~positive regulation of interleukin-6 production;GO:0032757~positive regulation of interleukin-8 production;GO:0032760~positive regulation of tumor necrosis factor production;GO:0032868~response to insulin;GO:0034123~positive regulation of toll-like receptor signaling pathway;GO:0034134~toll-like receptor 2 signaling pathway;GO:0038123~toll-like receptor TLR1:TLR2 signaling pathway;GO:0038124~toll-like receptor TLR6:TLR2 signaling pathway;GO:0042346~positive regulation of NF-kappaB import into nucleus;GO:0042495~detection of triacyl bacterial lipopeptide;GO:0042496~detection of diacyl bacterial lipopeptide;GO:0045087~innate immune response;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046209~nitric oxide metabolic process;GO:0048714~positive regulation of oligodendrocyte differentiation;GO:0050707~regulation of cytokine secretion;GO:0050729~positive regulation of inflammatory response;GO:0050830~defense response to Gram-positive bacterium;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process;GO:0070542~response to fatty acid;GO:0071221~cellular response to bacterial lipopeptide;GO:0071223~cellular response to lipoteichoic acid;GO:0071726~cellular response to diacyl bacterial lipopeptide;GO:0071727~cellular response to triacyl bacterial lipopeptide,
TLR4	toll like receptor 4(TLR4)	Homo sapiens	GO:0000187~activation of MAPK activity;GO:0002224~toll-like receptor signaling pathway;GO:0002322~B cell proliferation involved in immune response;GO:0002537~nitric oxide production involved in inflammatory response;GO:0002730~regulation of dendritic cell cytokine production;GO:0002755~MyD88-dependent toll-like receptor signaling pathway;GO:0002756~MyD88-independent toll-like receptor signaling pathway;GO:0006954~inflammatory response;GO:0006955~immune response;GO:0007249~I-kappaB kinase/NF-kappaB signaling;GO:0007252~I-kappaB phosphorylation;GO:0010572~positive regulation of platelet activation;GO:0010628~positive regulation of gene expression;GO:0014002~astrocyte development;GO:0016046~detection of fungus;GO:0030890~positive regulation of B cell proliferation;GO:0031663~lipopolysaccharide-mediated signaling pathway;GO:0032496~response to lipopolysaccharide;GO:0032497~detection of lipopolysaccharide;GO:0032609~interferon-gamma production;GO:0032689~negative regulation of interferon-gamma production;GO:0032700~negative regulation of interleukin-17 production;GO:0032707~negative regulation of interleukin-23 production;GO:0032715~negative regulation of interleukin-6 production;GO:0032720~negative regulation of tumor necrosis factor production;GO:0032722~positive regulation of chemokine production;GO:0032727~positive regulation of interferon-alpha production;GO:0032728~positive regulation of interferon-beta production;GO:0032729~positive regulation of interferon-gamma production;GO:0032732~positive regulation of interleukin-1 production;GO:0032733~positive regulation of interleukin-10 production;GO:0032735~positive regulation of interleukin-12 production;GO:0032755~positive regulation of interleukin-6 production;GO:0032757~positive regulation of interleukin-8 production;GO:0032760~positive regulation of tumor necrosis factor production;GO:0034128~negative regulation of MyD88-independent toll-like receptor signaling pathway;GO:0034142~toll-like receptor 4 signaling pathway;GO:0035666~TRIF-dependent toll-like receptor signaling pathway;GO:0042088~T-helper 1 type immune response;GO:0042116~macrophage activation;GO:0042346~positive regulation of NF-kappaB import into nucleus;GO:0042535~positive regulation of tumor necrosis factor biosynthetic process;GO:0042742~defense response to bacterium;GO:0045084~positive regulation of interleukin-12 biosynthetic process;GO:0045087~innate immune response;GO:0045348~positive regulation of MHC class II biosynthetic process;GO:0045359~positive regulation of interferon-beta biosynthetic process;GO:0045416~positive regulation of interleukin-8 biosynthetic process;GO:0045429~positive regulation of nitric oxide biosynthetic process;GO:0045671~negative regulation of osteoclast differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0046330~positive regulation of JNK cascade;GO:0050702~interleukin-1 beta secretion;GO:0050707~regulation of cytokine secretion;GO:0050729~positive regulation of inflammatory response;GO:0050829~defense response to Gram-negative bacterium;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process;GO:0060729~intestinal epithelial structure maintenance;GO:0060907~positive regulation of macrophage cytokine production;GO:0070266~necroptotic process;GO:0070373~negative regulation of ERK1 and ERK2 cascade;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0070430~positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway;GO:0070434~positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway;GO:0071222~cellular response to lipopolysaccharide;GO:0071223~cellular response to lipoteichoic acid;GO:0071260~cellular response to mechanical stimulus;GO:0097190~apoptotic signaling pathway;GO:1900227~positive regulation of NLRP3 inflammasome complex assembly,
TCEAL1	transcription elongation factor A like 1(TCEAL1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006351~transcription, DNA-templated,
TCEAL7	transcription elongation factor A like 7(TCEAL7)	Homo sapiens	GO:0006351~transcription, DNA-templated;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0032088~negative regulation of NF-kappaB transcription factor activity;GO:0045892~negative regulation of transcription, DNA-templated,
TCF12	transcription factor 12(TCF12)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006366~transcription from RNA polymerase II promoter;GO:0006955~immune response;GO:0007517~muscle organ development;GO:0045666~positive regulation of neuron differentiation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
TCF21	transcription factor 21(TCF21)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0001657~ureteric bud development;GO:0001658~branching involved in ureteric bud morphogenesis;GO:0001763~morphogenesis of a branching structure;GO:0001822~kidney development;GO:0001944~vasculature development;GO:0006366~transcription from RNA polymerase II promoter;GO:0007530~sex determination;GO:0014707~branchiomeric skeletal muscle development;GO:0030855~epithelial cell differentiation;GO:0032835~glomerulus development;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0048286~lung alveolus development;GO:0048536~spleen development;GO:0048557~embryonic digestive tract morphogenesis;GO:0048608~reproductive structure development;GO:0048732~gland development;GO:0060008~Sertoli cell differentiation;GO:0060021~palate development;GO:0060425~lung morphogenesis;GO:0060426~lung vasculature development;GO:0060435~bronchiole development;GO:0060539~diaphragm development;GO:0060541~respiratory system development;GO:0060766~negative regulation of androgen receptor signaling pathway;GO:0072162~metanephric mesenchymal cell differentiation;GO:0072277~metanephric glomerular capillary formation,
TCF7L1	transcription factor 7 like 1(TCF7L1)	Homo sapiens	GO:0006325~chromatin organization;GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0016055~Wnt signaling pathway;GO:0030111~regulation of Wnt signaling pathway;GO:0060070~canonical Wnt signaling pathway;GO:1904837~beta-catenin-TCF complex assembly,
TFAP2C	transcription factor AP-2 gamma(TFAP2C)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter;GO:0006357~regulation of transcription from RNA polymerase II promoter;GO:0006366~transcription from RNA polymerase II promoter;GO:0007267~cell-cell signaling;GO:0008584~male gonad development;GO:0040029~regulation of gene expression, epigenetic;GO:0042127~regulation of cell proliferation;GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
TOB1	transducer of ERBB2, 1(TOB1)	Homo sapiens	GO:0007184~SMAD protein import into nucleus;GO:0008285~negative regulation of cell proliferation;GO:0009967~positive regulation of signal transduction;GO:0017148~negative regulation of translation;GO:0030509~BMP signaling pathway;GO:0030514~negative regulation of BMP signaling pathway;GO:0045668~negative regulation of osteoblast differentiation;GO:0060212~negative regulation of nuclear-transcribed mRNA poly(A) tail shortening;GO:0060213~positive regulation of nuclear-transcribed mRNA poly(A) tail shortening;GO:1900153~positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay;GO:1903507~negative regulation of nucleic acid-templated transcription,
TOB2	transducer of ERBB2, 2(TOB2)	Homo sapiens	GO:0007292~female gamete generation;GO:0008285~negative regulation of cell proliferation;GO:0010468~regulation of gene expression;GO:0023052~signaling;GO:0045671~negative regulation of osteoclast differentiation;GO:0045778~positive regulation of ossification;GO:1903507~negative regulation of nucleic acid-templated transcription,
